Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Male,Married - spouse present,White only,United States,Private nonprofit,"Installation, maintenance, and repair occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,600.0,500-749,2135.3319
Female,Married - spouse present,White only,United States,Private nonprofit,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,640.0,500-749,3177.5481
Male,Married - spouse present,White only,United States,State government,Production occupations,,,High school graduate,Adult civilian household member,1060.0,1000-1249,506.0388
Male,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,490.0,250-499,6065.1563
Male,Never married,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,1000.0,1000-1249,2717.5621
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,2400.0,2000+,2216.5321
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,3480.0,2000+,2159.8774
Female,Divorced,W-B-AI,United States,Local government,Education instruction and library occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,384.0,250-499,5237.147
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,11th grade,Adult civilian household member,438.0,250-499,4672.2952
Male,Married - spouse present,White only,United States,Private nonprofit,"Life, physical, and social science occupations",,,High school graduate,Adult civilian household member,950.0,750-999,4564.5439
Female,Married - spouse present,White only,United States,Local government,Building and grounds cleaning and maintenance occupations,,,High school graduate,Adult civilian household member,750.0,750-999,3930.0262
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1000.0,1000-1249,4801.5024
Male,Never married,White only,,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,3894.4423
Female,Widowed,Black only,United States,Private for-profit,Office and administrative support occupations,,,High school graduate,Adult civilian household member,500.0,500-749,4009.2831
Female,Never married,Black only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1000.0,1000-1249,4415.2764
Female,Never married,White-Asian,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,224.0,<250,2306.5026
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,3240.2319
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2700.0,2000+,4156.0421
Female,Married - spouse present,White only,,State government,Office and administrative support occupations,,,Associate degree - occupational,Adult civilian household member,1250.0,1250-1499,3578.5067
Male,Divorced,White only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,766.0,750-999,5012.8926
Female,Never married,White only,United States,State government,Education instruction and library occupations,Not enrolled,,High school graduate,Adult civilian household member,640.0,500-749,4797.2839
Male,Never married,White only,United States,State government,Construction and extraction occupations,Not enrolled,,11th grade,Adult civilian household member,1000.0,1000-1249,5082.9123
Male,Married - spouse present,Asian only,,Private for-profit,"Life, physical, and social science occupations",Not enrolled,,Doctorate degree,Adult civilian household member,2300.0,2000+,5080.3693
Male,Never married,White only,United States,State government,Transportation and material moving occupations,,,Bachelor's degree,Adult civilian household member,320.0,250-499,5607.0129
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1000.0,1000-1249,3487.4562
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,"12th grade, no diploma",Adult civilian household member,1154.0,1000-1249,4115.3789
Female,Never married,White only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1920.0,1500-1999,5274.905
Female,Married - spouse present,White only,United States,Local government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,1700.0,1500-1999,3008.0812
Female,Divorced,Black only,,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1830.0,1500-1999,5975.9121
Female,Divorced,White only,United States,State government,Business and financial operations occupations,,,"Some college, no degree",Adult civilian household member,1120.0,1000-1249,3949.826
Male,Never married,White only,United States,State government,Production occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,760.0,750-999,4392.4316
Male,Married - spouse present,White only,,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,4427.9496
Female,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,,,Bachelor's degree,Adult civilian household member,2400.0,2000+,4612.5883
Male,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1154.0,1000-1249,1073.1327
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,2000.0,2000+,3632.5275
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,1540.0,1500-1999,4152.7403
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1830.0,1500-1999,4202.3961
Male,Married - spouse present,White only,United States,State government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,962.0,750-999,4920.9398
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1350.0,1250-1499,3679.6351
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1840.0,1500-1999,3629.5538
Female,Widowed,White only,United States,State government,Legal occupations,,,"Some college, no degree",Adult civilian household member,1240.0,1000-1249,3303.4093
Male,Married - spouse present,White only,United States,Private for-profit,"Life, physical, and social science occupations",,,Doctorate degree,Adult civilian household member,4000.0,2000+,5660.3329
Female,Never married,White only,United States,State government,Production occupations,,,Associate degree - occupational,Adult civilian household member,620.0,500-749,5142.3467
Male,Married - spouse present,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,4232.4288
Female,Married - spouse present,White only,United States,Federal government,Management occupations,,,Associate degree - academic,Adult civilian household member,1000.0,1000-1249,4771.5896
Female,Married - spouse present,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,500.0,500-749,4208.0368
Female,Married - spouse present,White only,United States,Private nonprofit,"Life, physical, and social science occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,2100.0,2000+,4906.4464
Male,Never married,Black only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,400.0,250-499,2081.1104
Male,Separated,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3760.0,2000+,1380.377
Male,Divorced,White only,United States,State government,Protective service occupations,,,High school graduate,Adult civilian household member,462.0,250-499,1606.515
Female,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1530.0,1500-1999,635.5372
Male,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1440.0,1250-1499,629.4558
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,168.0,<250,722.5455
Female,Widowed,White only,United States,State government,Sales and related occupations,,,High school graduate,Adult civilian household member,300.0,250-499,549.7968
Female,Married - spouse present,White only,United States,Local government,Transportation and material moving occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,366.0,250-499,2585.892
Male,Married - spouse present,White only,United States,Private nonprofit,"Installation, maintenance, and repair occupations",Not enrolled,,Associate degree - occupational,Adult civilian household member,860.0,750-999,2927.0783
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1400.0,1250-1499,3107.5391
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,1920.0,1500-1999,3987.172
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,4167.1631
Female,Never married,White only,United States,State government,Sales and related occupations,,,7th-8th grade,Adult civilian household member,130.0,<250,2831.794
Female,Separated,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,970.0,750-999,5553.7232
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1000.0,1000-1249,4185.8748
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,Associate degree - academic,Adult civilian household member,1154.0,1000-1249,4600.8812
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,1250.0,1250-1499,5417.6948
Male,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,2700.0,2000+,4748.4317
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,2700.0,2000+,4407.9797
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,680.0,500-749,4378.9835
Female,Never married,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1730.0,1500-1999,480.5069
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,126.0,<250,5890.6215
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3260.0,2000+,6579.8094
Male,Married - spouse present,White only,,State government,Production occupations,,,High school graduate,Adult civilian household member,866.0,750-999,6540.1649
Female,Married - spouse present,White only,,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,866.0,750-999,4602.5134
Female,Divorced,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,770.0,750-999,3912.7399
Female,Never married,White only,United States,State government,Personal care and service occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,962.0,750-999,4269.659
Female,Never married,Black only,United States,State government,Healthcare support occupations,Not enrolled,,High school graduate,Adult civilian household member,558.0,500-749,8508.1905
Male,Married - spouse present,White only,,State government,Construction and extraction occupations,Not enrolled,,7th-8th grade,Adult civilian household member,1200.0,1000-1249,5026.696
Female,Married - spouse present,White only,United States,Local government,Management occupations,,,Associate degree - occupational,Adult civilian household member,522.0,500-749,4468.827
Female,Married - spouse present,White only,United States,Federal government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,800.0,750-999,1296.2249
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,High school graduate,Adult civilian household member,882.0,750-999,1285.4391
Female,Never married,Asian only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,4527.4631
Male,Never married,Asian only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,4812.8538
Female,Widowed,White only,United States,Private for-profit,Healthcare practitioner and technical occupations,,,Associate degree - occupational,Adult civilian household member,2940.0,2000+,2375.9195
Female,Married - spouse present,White only,,State government,Education instruction and library occupations,,,Bachelor's degree,Adult civilian household member,632.0,500-749,5032.8107
Female,Never married,Black only,United States,State government,Community and social service occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1440.0,1250-1499,7826.8096
Male,Divorced,White only,United States,State government,Construction and extraction occupations,,,"Some college, no degree",Adult civilian household member,1350.0,1250-1499,488.7981
Female,Separated,White-Asian,,State government,Personal care and service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,790.0,750-999,6179.3681
Female,Never married,White only,United States,Federal government,Management occupations,Enrolled,Part time,Bachelor's degree,Adult civilian household member,1076.0,1000-1249,684.0096
Female,Divorced,White only,,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1650.0,1500-1999,2732.0706
Female,Married - spouse present,White only,United States,Federal government,Healthcare practitioner and technical occupations,,,Associate degree - academic,Adult civilian household member,296.0,250-499,3929.7901
Male,Married - spouse present,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Master's degree,Adult civilian household member,2600.0,2000+,6932.8974
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1350.0,1250-1499,4054.0276
Male,Never married,White only,United States,State government,Legal occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,180.0,<250,2439.8833
Male,Separated,White only,,State government,Protective service occupations,,,High school graduate,Adult civilian household member,200.0,<250,4687.9675
Female,Widowed,White only,,State government,Personal care and service occupations,,,Professional degree,Adult civilian household member,300.0,250-499,3937.172
Female,Married - spouse present,White only,United States,Private for-profit,Legal occupations,,,Master's degree,Adult civilian household member,46.0,<250,3942.8903
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,,,Doctorate degree,Adult civilian household member,442.0,250-499,1038.0106
Male,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,,,Doctorate degree,Adult civilian household member,3500.0,2000+,998.0856
Female,Divorced,White only,,Private nonprofit,Management occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1400.0,1250-1499,1004.3554
Male,Divorced,White only,United States,State government,Production occupations,,,Bachelor's degree,Adult civilian household member,1154.0,1000-1249,940.0287
Male,Married - spouse present,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,594.0,500-749,1081.657
Female,Married - spouse present,White only,United States,State government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,66.0,<250,1086.0699
Female,Never married,Asian only,United States,State government,Office and administrative support occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,180.0,<250,2190.9669
Female,Never married,Asian only,United States,State government,Education instruction and library occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,102.0,<250,2190.9669
Female,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,256.0,250-499,2550.8297
Female,Never married,Black only,United States,State government,Education instruction and library occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,512.0,500-749,5490.2384
Male,Married - spouse present,Black only,,State government,Healthcare practitioner and technical occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1890.0,1500-1999,4137.8043
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,,,Bachelor's degree,Adult civilian household member,450.0,250-499,1899.1398
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1400.0,1250-1499,2143.2615
Female,Married - spouse present,White only,United States,Federal government,Healthcare support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1154.0,1000-1249,1208.5463
Male,Married - spouse present,White only,United States,Local government,Protective service occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1340.0,1250-1499,1555.7249
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,10th grade,Adult civilian household member,1150.0,1000-1249,3065.9561
Male,Married - spouse present,White only,,State government,Production occupations,Not enrolled,,10th grade,Adult civilian household member,960.0,750-999,2595.3938
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,Bachelor's degree,Adult civilian household member,8115.06,2000+,2224.9143
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,,,Master's degree,Adult civilian household member,1200.0,1000-1249,2212.661
Male,Never married,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1470.0,1250-1499,4893.1564
Female,Separated,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,1116.0,1000-1249,5176.3294
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,370.0,250-499,1705.8942
Female,Married - spouse present,White only,United States,Federal government,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,392.0,250-499,1741.4132
Male,Divorced,White only,United States,State government,Food preparation and serving related occupations,,,High school graduate,Adult civilian household member,860.0,750-999,5204.7371
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,676.0,500-749,4480.4683
Male,Divorced,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,880.0,750-999,4762.6816
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,450.0,250-499,5167.9807
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,620.0,500-749,5186.3414
Male,Never married,Black only,,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1440.0,1250-1499,8007.5914
Female,Never married,White only,United States,Private nonprofit,Education instruction and library occupations,Enrolled,Full time,Master's degree,Adult civilian household member,528.0,500-749,4169.9233
Female,Never married,White only,United States,Private for-profit,"Life, physical, and social science occupations",Not enrolled,,Master's degree,Adult civilian household member,680.0,500-749,4169.9233
Male,Divorced,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,600.0,500-749,1230.3697
Female,Never married,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,650.0,500-749,1148.7302
Female,Married - spouse present,White only,United States,State government,Education instruction and library occupations,,,"Some college, no degree",Adult civilian household member,150.0,<250,4198.0058
Female,Married - spouse present,Black only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,480.0,250-499,7949.1898
Male,Married - spouse present,Black only,United States,State government,Healthcare support occupations,Not enrolled,,High school graduate,Adult civilian household member,2400.0,2000+,10118.8456
Male,Married - spouse present,White only,United States,State government,Education instruction and library occupations,,,High school graduate,Adult civilian household member,400.0,250-499,5265.6526
Female,Widowed,White only,United States,Local government,Management occupations,,,Master's degree,Adult civilian household member,1750.0,1500-1999,4330.111
Male,Married - spouse present,White only,United States,State government,Protective service occupations,,,High school graduate,Adult civilian household member,2060.0,2000+,856.9428
Female,Married - spouse present,White only,United States,Private nonprofit,Legal occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1340.0,1250-1499,782.9011
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,240.0,<250,861.7168
Male,Never married,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,"Some college, no degree",Adult civilian household member,962.0,750-999,861.7168
Female,Married - spouse present,White only,,Private for-profit,Healthcare practitioner and technical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,8115.06,2000+,898.4723
Female,Married - spouse present,White only,United States,Federal government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,600.0,500-749,997.2241
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,1540.0,1500-1999,905.2467
Male,Married - spouse present,Black only,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1330.0,1250-1499,6172.0842
Female,Married - spouse present,Black only,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1440.0,1250-1499,7599.1586
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,10th grade,Adult civilian household member,420.0,250-499,2154.8414
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,10th grade,Adult civilian household member,490.0,250-499,2339.8349
Male,Married - spouse present,Asian only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,1380.0,1250-1499,997.3217
Female,Married - spouse present,Asian only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,576.0,500-749,631.162
Male,Married - spouse present,White only,United States,State government,Legal occupations,,,Professional degree,Adult civilian household member,3840.0,2000+,2491.6092
Male,Married - spouse present,White only,United States,State government,Building and grounds cleaning and maintenance occupations,,,High school graduate,Adult civilian household member,962.0,750-999,4179.6045
Female,Married - spouse present,Asian only,,Federal government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,674.0,500-749,4666.8836
Male,Married - spouse present,Asian only,,State government,Healthcare support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,2989.096
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1440.0,1250-1499,4997.945
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,1050.0,1000-1249,4397.7263
Male,Married - spouse present,White only,United States,State government,Protective service occupations,Not enrolled,,High school graduate,Adult civilian household member,72.0,<250,3610.4989
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1144.0,1000-1249,3911.4708
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1250.0,1250-1499,1148.5396
Female,Married - spouse present,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,4127.1034
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,High school graduate,Adult civilian household member,1076.0,1000-1249,4499.3713
Female,Divorced,White only,United States,Federal government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2700.0,2000+,644.149
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,9th grade,Adult civilian household member,720.0,500-749,477.6593
Female,Never married,White only,United States,State government,Office and administrative support occupations,,,Associate degree - occupational,Adult civilian household member,770.0,750-999,4321.9408
Female,Married - spouse present,American Indian or Alaskan Native only,United States,Local government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,780.0,750-999,6846.6578
Male,Married - spouse present,American Indian or Alaskan Native only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,500.0,500-749,6023.0877
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,8115.06,2000+,3342.0546
Female,Married - spouse present,Black only,United States,State government,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,1100.0,1000-1249,4501.7755
Male,Never married,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,1012.0,1000-1249,1486.2055
Male,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,,,"Some college, no degree",Adult civilian household member,1076.0,1000-1249,1533.9228
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,140.0,<250,1890.7298
Male,Divorced,White only,United States,State government,Construction and extraction occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,2100.0,2000+,657.6787
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1040.0,1000-1249,598.7923
Female,Never married,Black only,United States,State government,Food preparation and serving related occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1250.0,1250-1499,8804.8322
Male,Never married,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1020.0,1000-1249,4661.0604
Female,Divorced,White only,United States,State government,Office and administrative support occupations,,,Associate degree - occupational,Adult civilian household member,808.0,750-999,2865.8219
Male,Married - spouse present,White only,United States,Local government,Protective service occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,2780.0,2000+,5649.678
Female,Married - spouse present,White only,United States,Local government,Protective service occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,2000.0,2000+,5134.9662
Male,Never married,White only,United States,State government,Sales and related occupations,,,9th grade,Adult civilian household member,224.0,<250,2872.3634
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,320.0,250-499,5495.6123
Male,Never married,White only,United States,Private nonprofit,Protective service occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,750.0,750-999,6732.4255
Female,Never married,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,962.0,750-999,6473.0044
Male,Never married,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,660.0,500-749,2122.2403
Female,Widowed,White only,,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,880.0,750-999,1721.7267
Male,Married - spouse present,White only,United States,Private for-profit,Computer and mathematical occupations,,,"Some college, no degree",Adult civilian household member,2600.0,2000+,2064.2143
Female,Divorced,White only,United States,State government,Education instruction and library occupations,Not enrolled,,High school graduate,Adult civilian household member,936.0,750-999,2110.8808
Male,Married - spouse present,White only,,State government,Construction and extraction occupations,Not enrolled,,10th grade,Adult civilian household member,740.0,500-749,1684.7724
Male,Never married,White only,,State government,Construction and extraction occupations,Not enrolled,,10th grade,Adult civilian household member,680.0,500-749,1684.7724
